Jul-08, 7:25 PM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Giath's Helmet,4,18600000000,19900000000,17300000000,219,20
 , ,Urugon's Shoes,2,23000000000,24700000000,21300000000,589,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,3,20800000000,22300000000,19300000000,170,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-09, 9:06 AM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,9,9500000000,10200000000,8800000000,3647,0
 , ,Vell's Concentrated Magic,21,8300000000,8900000000,7700000000,5017,0
 , ,Memory Fragment,43429,1790000,1920000,1660000,115681494,0
 , ,Manshaum Voodoo Doll,257,635000,680000,630000,4459988,0
 , ,Ancient Relic Crystal Shard,14303,1250000,1340000,1160000,48640085,0
 , ,Caphras Stone,14778,2680000,2880000,2480000,64589099,0
 , ,Scroll Written in Ancient Language,3147,1830000,1960000,1700000,29339555,0
 , ,Black Stone (Armor),2352,205000,210000,190000,314998183,0
 , ,Concentrated Magical Black Stone (Armor),654,2220000,2250000,2060000,13114388,0
 , ,Black Stone (Weapon),538,198000,212000,184000,199975297,0
 , ,Concentrated Magical Black Stone (Weapon),1875,2180000,2340000,2020000,9384366,0
 , ,Garmoth's Heart,8,5450000000,5850000000,5050000000,3274,0
 , ,Inverted Heart of Garmoth,12,6100000000,6550000000,5650000000,1975,0
 , ,Ogre Ring,2,11500000000,12300000000,10700000000,5680,4
 , ,Laytenn's Power Stone,3,11300000000,12100000000,10500000000,3181,4
 , ,Tungrad Necklace,2,13100000000,14000000000,12200000000,837,4
 , ,Tungrad Ring,9,13600000000,14600000000,12600000000,1473,4
 , ,Tungrad Belt,2,14700000000,15800000000,13600000000,770,4
 , ,Basilisk's Belt,4,6000000000,6450000000,5550000000,6560,4
 , ,Ring of Crescent Guardian,4,5350000000,5750000000,4950000000,12407,4
 , ,Black Distortion Earring,9,22600000000,24200000000,21000000000,1839,4
 , ,Dim Tree Spirit's Armor,4,24400000000,26200000000,22600000000,894,20
 , ,Red Nose's Armor,1,23800000000,25500000000,22100000000,149,20
 , ,Bheg's Gloves,3,21300000000,22800000000,19800000000,806,20
 , ,Giath's Helmet,2,18600000000,19900000000,17300000000,220,20
 , ,Urugon's Shoes,3,22800000000,24500000000,21100000000,589,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,2,20800000000,22300000000,19300000000,171,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-09, 11:06 AM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,6,9250000000,9900000000,8600000000,3650,0
 , ,Vell's Concentrated Magic,21,8300000000,8900000000,7700000000,5021,0
 , ,Memory Fragment,41045,1770000,1900000,1640000,115739962,0
 , ,Manshaum Voodoo Doll,719,635000,680000,630000,4462892,0
 , ,Ancient Relic Crystal Shard,15562,1250000,1340000,1160000,48648642,0
 , ,Caphras Stone,5057,2660000,2850000,2470000,64649111,0
 , ,Scroll Written in Ancient Language,5051,1830000,1960000,1700000,29346099,0
 , ,Black Stone (Armor),0,205000,210000,190000,315106165,0
 , ,Concentrated Magical Black Stone (Armor),761,2220000,2250000,2060000,13118769,0
 , ,Black Stone (Weapon),3783,195000,209000,181000,200036758,0
 , ,Concentrated Magical Black Stone (Weapon),1140,2140000,2300000,1980000,9387669,0
 , ,Garmoth's Heart,8,5450000000,5850000000,5050000000,3278,0
 , ,Inverted Heart of Garmoth,13,6100000000,6550000000,5650000000,1976,0
 , ,Ogre Ring,3,11500000000,12300000000,10700000000,5680,4
 , ,Laytenn's Power Stone,3,11300000000,12100000000,10500000000,3181,4
 , ,Tungrad Necklace,2,13100000000,14000000000,12200000000,837,4
 , ,Tungrad Ring,7,13600000000,14600000000,12600000000,1477,4
 , ,Tungrad Belt,3,14700000000,15800000000,13600000000,770,4
 , ,Basilisk's Belt,2,6000000000,6450000000,5550000000,6564,4
 , ,Ring of Crescent Guardian,5,5350000000,5750000000,4950000000,12415,4
 , ,Black Distortion Earring,9,22600000000,24200000000,21000000000,1842,4
 , ,Dim Tree Spirit's Armor,3,24400000000,26200000000,22600000000,895,20
 , ,Red Nose's Armor,1,23800000000,25500000000,22100000000,149,20
 , ,Bheg's Gloves,3,21300000000,22800000000,19800000000,806,20
 , ,Giath's Helmet,3,18600000000,19900000000,17300000000,220,20
 , ,Urugon's Shoes,2,22800000000,24500000000,21100000000,589,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,2,20800000000,22300000000,19300000000,171,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-09, 12:06 PM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,7,9250000000,9900000000,8600000000,3650,0
 , ,Vell's Concentrated Magic,21,8300000000,8900000000,7700000000,5021,0
 , ,Memory Fragment,41200,1770000,1900000,1640000,115745853,0
 , ,Manshaum Voodoo Doll,0,635000,680000,630000,4464152,0
 , ,Ancient Relic Crystal Shard,15981,1250000,1340000,1160000,48650126,0
 , ,Caphras Stone,18247,2740000,2940000,2540000,64654778,0
 , ,Scroll Written in Ancient Language,4584,1830000,1960000,1700000,29347274,0
 , ,Black Stone (Armor),0,205000,210000,190000,315116358,0
 , ,Concentrated Magical Black Stone (Armor),882,2220000,2250000,2060000,13118998,0
 , ,Black Stone (Weapon),1432,195000,209000,181000,200045997,0
 , ,Concentrated Magical Black Stone (Weapon),1205,2140000,2300000,1980000,9387900,0
 , ,Garmoth's Heart,8,5450000000,5850000000,5050000000,3278,0
 , ,Inverted Heart of Garmoth,4,5750000000,6150000000,5350000000,1976,0
 , ,Ogre Ring,4,11500000000,12300000000,10700000000,5681,4
 , ,Laytenn's Power Stone,4,11300000000,12100000000,10500000000,3181,4
 , ,Tungrad Necklace,2,13100000000,14000000000,12200000000,837,4
 , ,Tungrad Ring,1,13200000000,14100000000,12300000000,1477,4
 , ,Tungrad Belt,3,14700000000,15800000000,13600000000,770,4
 , ,Basilisk's Belt,2,6000000000,6450000000,5550000000,6564,4
 , ,Ring of Crescent Guardian,4,5350000000,5750000000,4950000000,12417,4
 , ,Black Distortion Earring,5,22500000000,24100000000,20900000000,1842,4
 , ,Dim Tree Spirit's Armor,3,24400000000,26200000000,22600000000,895,20
 , ,Red Nose's Armor,1,23800000000,25500000000,22100000000,150,20
 , ,Bheg's Gloves,3,21300000000,22800000000,19800000000,806,20
 , ,Giath's Helmet,3,18600000000,19900000000,17300000000,220,20
 , ,Urugon's Shoes,3,22800000000,24500000000,21100000000,589,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,2,20800000000,22300000000,19300000000,171,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-09, 4:38 PM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,7,9250000000,9900000000,8600000000,3650,0
 , ,Vell's Concentrated Magic,19,8300000000,8900000000,7700000000,5023,0
 , ,Memory Fragment,17173,1720000,1840000,1600000,115776320,0
 , ,Manshaum Voodoo Doll,180,645000,690000,630000,4466564,0
 , ,Ancient Relic Crystal Shard,31268,1270000,1360000,1180000,48655889,0
 , ,Caphras Stone,18016,2730000,2930000,2530000,64693384,0
 , ,Scroll Written in Ancient Language,4369,1830000,1960000,1700000,29352349,0
 , ,Black Stone (Armor),5483,205000,210000,190000,315174226,0
 , ,Concentrated Magical Black Stone (Armor),1170,2120000,2250000,1970000,13121640,0
 , ,Black Stone (Weapon),4254,198000,212000,184000,200086912,0
 , ,Concentrated Magical Black Stone (Weapon),188,2030000,2180000,1880000,9389767,0
 , ,Garmoth's Heart,5,5250000000,5600000000,4860000000,3279,0
 , ,Inverted Heart of Garmoth,4,5750000000,6150000000,5350000000,1978,0
 , ,Ogre Ring,4,11500000000,12300000000,10700000000,5681,4
 , ,Laytenn's Power Stone,4,11300000000,12100000000,10500000000,3181,4
 , ,Tungrad Necklace,2,13100000000,14000000000,12200000000,837,4
 , ,Tungrad Ring,5,13200000000,14100000000,12300000000,1477,4
 , ,Tungrad Belt,3,14700000000,15800000000,13600000000,770,4
 , ,Basilisk's Belt,3,6000000000,6450000000,5550000000,6565,4
 , ,Ring of Crescent Guardian,5,5500000000,5900000000,5100000000,12423,4
 , ,Black Distortion Earring,6,22500000000,24100000000,20900000000,1845,4
 , ,Dim Tree Spirit's Armor,3,24400000000,26200000000,22600000000,895,20
 , ,Red Nose's Armor,1,23800000000,25500000000,22100000000,150,20
 , ,Bheg's Gloves,4,21300000000,22800000000,19800000000,806,20
 , ,Giath's Helmet,3,18600000000,19900000000,17300000000,220,20
 , ,Urugon's Shoes,3,22800000000,24500000000,21100000000,589,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,3,20800000000,22300000000,19300000000,171,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-09, 5:37 PM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,9,9250000000,9900000000,8600000000,3650,0
 , ,Vell's Concentrated Magic,20,8300000000,8900000000,7700000000,5023,0
 , ,Memory Fragment,18196,1730000,1850000,1610000,115796438,0
 , ,Manshaum Voodoo Doll,83,645000,690000,630000,4467770,0
 , ,Ancient Relic Crystal Shard,30758,1270000,1360000,1180000,48659751,0
 , ,Caphras Stone,17750,2720000,2920000,2520000,64707188,0
 , ,Scroll Written in Ancient Language,4379,1830000,1960000,1700000,29354707,0
 , ,Black Stone (Armor),1478,205000,210000,190000,315214183,0
 , ,Concentrated Magical Black Stone (Armor),815,2180000,2250000,2020000,13123297,0
 , ,Black Stone (Weapon),4526,200000,215000,185000,200110112,0
 , ,Concentrated Magical Black Stone (Weapon),687,2100000,2250000,1950000,9390981,0
 , ,Garmoth's Heart,5,5250000000,5600000000,4860000000,3280,0
 , ,Inverted Heart of Garmoth,4,5750000000,6150000000,5350000000,1979,0
 , ,Ogre Ring,5,11500000000,12300000000,10700000000,5682,4
 , ,Laytenn's Power Stone,5,11300000000,12100000000,10500000000,3181,4
 , ,Tungrad Necklace,2,13100000000,14000000000,12200000000,837,4
 , ,Tungrad Ring,5,13200000000,14100000000,12300000000,1477,4
 , ,Tungrad Belt,2,14700000000,15800000000,13600000000,771,4
 , ,Basilisk's Belt,3,6000000000,6450000000,5550000000,6566,4
 , ,Ring of Crescent Guardian,5,5500000000,5900000000,5100000000,12430,4
 , ,Black Distortion Earring,6,22500000000,24100000000,20900000000,1846,4
 , ,Dim Tree Spirit's Armor,4,24400000000,26200000000,22600000000,895,20
 , ,Red Nose's Armor,2,23800000000,25500000000,22100000000,150,20
 , ,Bheg's Gloves,4,21300000000,22800000000,19800000000,806,20
 , ,Giath's Helmet,3,18600000000,19900000000,17300000000,220,20
 , ,Urugon's Shoes,3,22800000000,24500000000,21100000000,589,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,3,20800000000,22300000000,19300000000,171,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-09, 8:05 PM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,8,9250000000,9900000000,8600000000,3654,0
 , ,Vell's Concentrated Magic,20,8300000000,8900000000,7700000000,5024,0
 , ,Memory Fragment,25818,1750000,1880000,1620000,115835363,0
 , ,Manshaum Voodoo Doll,823,660000,705000,630000,4470734,0
 , ,Ancient Relic Crystal Shard,11293,1240000,1330000,1150000,48664998,0
 , ,Caphras Stone,27419,2770000,2970000,2570000,64745236,0
 , ,Scroll Written in Ancient Language,6231,1860000,1990000,1730000,29360573,0
 , ,Black Stone (Armor),4070,202000,210000,187000,315282477,0
 , ,Concentrated Magical Black Stone (Armor),892,2240000,2250000,2080000,13126789,0
 , ,Black Stone (Weapon),3589,195000,209000,181000,200156712,0
 , ,Concentrated Magical Black Stone (Weapon),1535,2240000,2400000,2080000,9393446,0
 , ,Garmoth's Heart,5,5250000000,5600000000,4860000000,3281,0
 , ,Inverted Heart of Garmoth,6,5750000000,6150000000,5350000000,1980,0
 , ,Ogre Ring,6,11500000000,12300000000,10700000000,5685,4
 , ,Laytenn's Power Stone,5,11300000000,12100000000,10500000000,3183,4
 , ,Tungrad Necklace,2,13100000000,14000000000,12200000000,837,4
 , ,Tungrad Ring,6,13200000000,14100000000,12300000000,1477,4
 , ,Tungrad Belt,2,14700000000,15800000000,13600000000,771,4
 , ,Basilisk's Belt,0,6000000000,6450000000,5550000000,6571,4
 , ,Ring of Crescent Guardian,6,5600000000,6000000000,5200000000,12433,4
 , ,Black Distortion Earring,6,22500000000,24100000000,20900000000,1849,4
 , ,Dim Tree Spirit's Armor,2,24400000000,26200000000,22600000000,896,20
 , ,Red Nose's Armor,2,23800000000,25500000000,22100000000,150,20
 , ,Bheg's Gloves,4,21300000000,22800000000,19800000000,807,20
 , ,Giath's Helmet,4,18600000000,19900000000,17300000000,220,20
 , ,Urugon's Shoes,3,22800000000,24500000000,21100000000,589,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,3,20800000000,22300000000,19300000000,171,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-09, 9:05 PM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,6,9000000000,9650000000,8350000000,3656,0
 , ,Vell's Concentrated Magic,21,8300000000,8900000000,7700000000,5025,0
 , ,Memory Fragment,35563,1760000,1890000,1630000,115856669,0
 , ,Manshaum Voodoo Doll,858,660000,705000,630000,4471756,0
 , ,Ancient Relic Crystal Shard,11621,1240000,1330000,1150000,48667487,0
 , ,Caphras Stone,25389,2730000,2930000,2530000,64770312,0
 , ,Scroll Written in Ancient Language,6493,1860000,1990000,1730000,29363433,0
 , ,Black Stone (Armor),7945,201000,210000,186000,315319114,0
 , ,Concentrated Magical Black Stone (Armor),451,2230000,2250000,2070000,13128927,0
 , ,Black Stone (Weapon),2123,194000,208000,180000,200181825,0
 , ,Concentrated Magical Black Stone (Weapon),2668,2240000,2400000,2080000,9394596,0
 , ,Garmoth's Heart,5,5250000000,5600000000,4860000000,3281,0
 , ,Inverted Heart of Garmoth,8,5750000000,6150000000,5350000000,1980,0
 , ,Ogre Ring,6,11500000000,12300000000,10700000000,5685,4
 , ,Laytenn's Power Stone,5,11300000000,12100000000,10500000000,3183,4
 , ,Tungrad Necklace,2,13100000000,14000000000,12200000000,837,4
 , ,Tungrad Ring,6,13200000000,14100000000,12300000000,1477,4
 , ,Tungrad Belt,3,14700000000,15800000000,13600000000,771,4
 , ,Basilisk's Belt,2,6200000000,6650000000,5750000000,6573,4
 , ,Ring of Crescent Guardian,6,5600000000,6000000000,5200000000,12437,4
 , ,Black Distortion Earring,3,22500000000,24100000000,20900000000,1854,4
 , ,Dim Tree Spirit's Armor,3,24400000000,26200000000,22600000000,896,20
 , ,Red Nose's Armor,2,23800000000,25500000000,22100000000,151,20
 , ,Bheg's Gloves,4,21300000000,22800000000,19800000000,808,20
 , ,Giath's Helmet,4,18600000000,19900000000,17300000000,220,20
 , ,Urugon's Shoes,3,22800000000,24500000000,21100000000,590,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,3,20800000000,22300000000,19300000000,171,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-09, 10:05 PM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,7,9000000000,9650000000,8350000000,3657,0
 , ,Vell's Concentrated Magic,21,8300000000,8900000000,7700000000,5025,0
 , ,Memory Fragment,33452,1760000,1890000,1630000,115871845,0
 , ,Manshaum Voodoo Doll,1177,660000,705000,630000,4473111,0
 , ,Ancient Relic Crystal Shard,11611,1240000,1330000,1150000,48669608,0
 , ,Caphras Stone,12421,2680000,2880000,2480000,64784860,0
 , ,Scroll Written in Ancient Language,6815,1860000,1990000,1730000,29365206,0
 , ,Black Stone (Armor),7257,203000,210000,188000,315344085,0
 , ,Concentrated Magical Black Stone (Armor),1020,2190000,2250000,2030000,13129659,0
 , ,Black Stone (Weapon),141,196000,210000,182000,200200905,0
 , ,Concentrated Magical Black Stone (Weapon),2357,2210000,2370000,2050000,9395163,0
 , ,Garmoth's Heart,10,5250000000,5600000000,4860000000,3285,0
 , ,Inverted Heart of Garmoth,9,5750000000,6150000000,5350000000,1980,0
 , ,Ogre Ring,6,11500000000,12300000000,10700000000,5685,4
 , ,Laytenn's Power Stone,5,11300000000,12100000000,10500000000,3183,4
 , ,Tungrad Necklace,2,13100000000,14000000000,12200000000,837,4
 , ,Tungrad Ring,5,13200000000,14100000000,12300000000,1477,4
 , ,Tungrad Belt,2,14700000000,15800000000,13600000000,771,4
 , ,Basilisk's Belt,2,6200000000,6650000000,5750000000,6573,4
 , ,Ring of Crescent Guardian,9,5600000000,6000000000,5200000000,12437,4
 , ,Black Distortion Earring,4,22500000000,24100000000,20900000000,1856,4
 , ,Dim Tree Spirit's Armor,5,24400000000,26200000000,22600000000,896,20
 , ,Red Nose's Armor,2,23800000000,25500000000,22100000000,151,20
 , ,Bheg's Gloves,4,21300000000,22800000000,19800000000,808,20
 , ,Giath's Helmet,4,18600000000,19900000000,17300000000,220,20
 , ,Urugon's Shoes,3,22800000000,24500000000,21100000000,590,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,3,20800000000,22300000000,19300000000,171,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-09, 11:06 PM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,7,9000000000,9650000000,8350000000,3657,0
 , ,Vell's Concentrated Magic,22,8300000000,8900000000,7700000000,5025,0
 , ,Memory Fragment,33337,1760000,1890000,1630000,115883246,0
 , ,Manshaum Voodoo Doll,1239,660000,705000,630000,4473740,0
 , ,Ancient Relic Crystal Shard,13288,1240000,1330000,1150000,48671370,0
 , ,Caphras Stone,12436,2680000,2880000,2480000,64796577,0
 , ,Scroll Written in Ancient Language,7398,1860000,1990000,1730000,29367050,0
 , ,Black Stone (Armor),10623,203000,210000,188000,315367115,0
 , ,Concentrated Magical Black Stone (Armor),383,2190000,2250000,2030000,13131876,0
 , ,Black Stone (Weapon),2616,196000,210000,182000,200214295,0
 , ,Concentrated Magical Black Stone (Weapon),2069,2210000,2370000,2050000,9395894,0
 , ,Garmoth's Heart,12,5250000000,5600000000,4860000000,3287,0
 , ,Inverted Heart of Garmoth,4,5650000000,6050000000,5250000000,1981,0
 , ,Ogre Ring,6,11500000000,12300000000,10700000000,5685,4
 , ,Laytenn's Power Stone,4,11300000000,12100000000,10500000000,3185,4
 , ,Tungrad Necklace,2,13100000000,14000000000,12200000000,837,4
 , ,Tungrad Ring,5,13200000000,14100000000,12300000000,1477,4
 , ,Tungrad Belt,2,14700000000,15800000000,13600000000,771,4
 , ,Basilisk's Belt,2,6200000000,6650000000,5750000000,6574,4
 , ,Ring of Crescent Guardian,8,5600000000,6000000000,5200000000,12442,4
 , ,Black Distortion Earring,2,22400000000,24000000000,20800000000,1857,4
 , ,Dim Tree Spirit's Armor,5,24400000000,26200000000,22600000000,896,20
 , ,Red Nose's Armor,2,23800000000,25500000000,22100000000,151,20
 , ,Bheg's Gloves,4,21300000000,22800000000,19800000000,808,20
 , ,Giath's Helmet,3,18600000000,19900000000,17300000000,221,20
 , ,Urugon's Shoes,3,22800000000,24500000000,21100000000,590,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,3,20800000000,22300000000,19300000000,171,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-10, 9:03 AM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,7,9100000000,9750000000,8450000000,3665,0
 , ,Vell's Concentrated Magic,16,8200000000,8800000000,7600000000,5026,0
 , ,Memory Fragment,26868,1750000,1880000,1620000,115941076,0
 , ,Manshaum Voodoo Doll,52,640000,685000,630000,4477052,0
 , ,Ancient Relic Crystal Shard,9086,1220000,1310000,1130000,48679682,0
 , ,Caphras Stone,18818,2720000,2920000,2520000,64839495,0
 , ,Scroll Written in Ancient Language,3960,1820000,1950000,1690000,29375121,0
 , ,Black Stone (Armor),0,203000,210000,188000,315477617,0
 , ,Concentrated Magical Black Stone (Armor),886,2210000,2250000,2050000,13136629,0
 , ,Black Stone (Weapon),908,201000,216000,186000,200281223,0
 , ,Concentrated Magical Black Stone (Weapon),1698,2200000,2360000,2040000,9399404,0
 , ,Garmoth's Heart,9,5200000000,5550000000,4810000000,3289,0
 , ,Inverted Heart of Garmoth,10,5650000000,6050000000,5250000000,1982,0
 , ,Ogre Ring,3,11100000000,11900000000,10300000000,5691,4
 , ,Laytenn's Power Stone,3,11400000000,12200000000,10600000000,3190,4
 , ,Tungrad Necklace,2,13100000000,14000000000,12200000000,839,4
 , ,Tungrad Ring,8,13200000000,14100000000,12300000000,1479,4
 , ,Tungrad Belt,4,14700000000,15800000000,13600000000,771,4
 , ,Basilisk's Belt,1,6200000000,6650000000,5750000000,6576,4
 , ,Ring of Crescent Guardian,3,5550000000,5950000000,5150000000,12457,4
 , ,Black Distortion Earring,7,22400000000,24000000000,20800000000,1860,4
 , ,Dim Tree Spirit's Armor,5,24400000000,26200000000,22600000000,896,20
 , ,Red Nose's Armor,2,23800000000,25500000000,22100000000,151,20
 , ,Bheg's Gloves,5,21300000000,22800000000,19800000000,808,20
 , ,Giath's Helmet,3,18600000000,19900000000,17300000000,221,20
 , ,Urugon's Shoes,4,22800000000,24500000000,21100000000,591,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,2,20800000000,22300000000,19300000000,172,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-10, 10:03 AM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,7,9100000000,9750000000,8450000000,3665,0
 , ,Vell's Concentrated Magic,16,8200000000,8800000000,7600000000,5026,0
 , ,Memory Fragment,26690,1750000,1880000,1620000,115945405,0
 , ,Manshaum Voodoo Doll,83,640000,685000,630000,4477390,0
